Project Name,Country,Capacity (kt H2/y),Investment Cost (MUSD),Source,Date Online,Technology,Capacity Change (Simulated),Country_Name,Continent,Region
CorrHyd'Occ (Occitanie H2 Corridor),FRA,20.0,3.38973913,Production,2024.0,Unknown,1.999049893,France,Europe,Western Europe
BÜKKABRÁNY PtG,HUN,1.0,0.173253333,Production,2024.0,Solar PV,1.99996392,Hungary,Europe,Central Europe
Alcázar de San Juan - pHYnix,ESP,10.0,1.499307692,Production,2024.0,Unknown,6.99953096,Spain,Europe,South West Europe
AEM Nexus for Unigranit,CZE,0.5,0.086626667,Production,2024.0,Onshore wind,1.999987973,Czech Republic,Europe,Central Europe
AEM Nexus for Fuel Cell factory FAT process,GBR,1.0,0.173253333,Production,2024.0,Unknown,6.99996392,United Kingdom,Europe,Western Europe
UpHy,AUT,10.0,1.499307692,Production,2024.0,Unknown,1.99953096,Austria,Europe,Central Europe
"Trailblazer - Siemens-Air Liquide Oberhausen, Phase 1",DEU,20.0,2.998615385,Production,2024.0,Unknown,9.999049893,Germany,Europe,Western Europe
WIVA P&G Hydrogen Region,AUT,21.06741573,3.65,Production,2025.0,Others/Various,1.998998543,Austria,Europe,Central Europe
"Wilhelmshaven , phase 1",DEU,70.0,12.12773333,Production,2025.0,Unknown,9.996644559,Germany,Europe,Western Europe
Wallonia e-methane project,BEL,75.0,12.71152174,Production,2025.0,Others/Various,1.996404026,Belgium,Europe,Western Europe
"AquaPrimus (AquaVentus, phase 1), Heligoland",DEU,28.0,4.851093333,Production,2025.0,Offshore wind,4.99866504,Germany,Europe,Western Europe
AM Gent H2 consumption Hub,BEL,519.4705249,90.0,Production,2025.0,Unknown,6.975022027,Belgium,Europe,Western Europe
Alp’Hyne,FRA,2.0,0.346506667,Production,2025.0,Unknown,1.999915813,France,Europe,Western Europe
"Aker - Rjukan, phase 2",NOR,20.0,3.465066667,Production,2025.0,Unknown,6.999049893,Norway,Europe,Northern Europe
"Aker - Rjukan, phase 1",NOR,20.0,3.465066667,Production,2025.0,Unknown,6.999049893,Norway,Europe,Northern Europe
"Wyhlen hydroelectric power plant, expansion",DEU,4.248114514,0.72,Production,2025.0,Hydropower,4.999807664,Germany,Europe,Western Europe
Mayflower Hydrogen project,GBR,20.0,2.998615385,Production,2025.0,Unknown,1.999049893,United Kingdom,Europe,Western Europe
Lowestoft PowerPark hydrogen,GBR,2.0,0.346506667,Production,2025.0,Offshore wind,1.999915813,United Kingdom,Europe,Western Europe
Northern Irish hydrogen project - Ballymena Hydrogen,GBR,1.0,0.173253333,Production,2025.0,Onshore wind,1.99996392,United Kingdom,Europe,Western Europe
Net Zero Hub - West Isles,GBR,50.0,8.662666667,Production,2025.0,Unknown,1.997606693,United Kingdom,Europe,Western Europe
Nervia,ROU,5.0,0.847434783,Production,2025.0,Unknown,1.999771493,,,
NeoGreen Portugal - Palmela projetc,PRT,10.0,1.732533333,Production,2025.0,Solar PV,1.99953096,Portugal,Europe,South West Europe
Nemo Hydrogen Project,GRC,100.0,17.32533333,Production,2025.0,Solar PV,1.995201359,Greece,Europe,South East Europe
"Nazare Green Hydrogen Valley, phase 1",PRT,40.0,6.930133333,Production,2025.0,Solar PV,1.99808776,Portugal,Europe,South West Europe
Lhyfe - Schaeffler Group plant in Herzogenaurach,DEU,15.0,2.5988,Production,2025.0,Unknown,9.999290427,Germany,Europe,Western Europe
Landsvirkjun - Ljósifoss Hydropower Station,ISL,10.0,1.732533333,Production,2025.0,Unknown,1.99953096,Iceland,Europe,Northern Europe
Knockshinnoch hydrogen production facility - Scotland,GBR,2.5,0.433133333,Production,2025.0,Unknown,6.99989176,United Kingdom,Europe,Western Europe
Julio Verne project,ESP,1.4,0.242554667,Production,2025.0,Unknown,6.999944677,Spain,Europe,South West Europe
Inverness hydrogen hub - Phase 1,GBR,6.0,1.016921739,Production,2025.0,Unknown,1.999723387,United Kingdom,Europe,Western Europe
Inspira Madrid,ESP,10.0,1.732533333,Production,2025.0,Solar PV,1.99953096,Spain,Europe,South West Europe
Innio Jenbach - H2 Ready ,AUT,2.0,0.299861538,Production,2025.0,Unknown,1.999915813,Austria,Europe,Central Europe
INEOS Köln site,DEU,100.0,17.32533333,Production,2025.0,Unknown,4.995201359,Germany,Europe,Western Europe
P2G Velke Kapusany,SVK,78.0,13.51376,Production,2025.0,Unknown,6.996259706,Slovakia,Europe,Central Europe
Oosterhorn Hydrogen project - Chemie Park Delfzijl,NLD,20.0,3.465066667,Production,2025.0,Onshore wind,1.999049893,Netherlands,Europe,Western Europe
Olga,ITA,1.0,0.169486957,Production,2025.0,Unknown,1.99996392,Italy,Europe,Southern Europe
Hyperion H2 Alandroal- Phase 1,PRT,50.0,8.662666667,Production,2025.0,Solar PV,1.997606693,Portugal,Europe,South West Europe
Hynamics VSGP,FRA,2.0,0.338973913,Production,2025.0,Unknown,1.999915813,France,Europe,Western Europe
Hynamics Martres-Tolosane,FRA,2.0,0.338973913,Production,2025.0,Unknown,1.999915813,France,Europe,Western Europe
Hynamics LH2,FRA,2.0,0.338973913,Production,2025.0,Unknown,1.999915813,France,Europe,Western Europe
Hynamics Dunkirk,FRA,1.0,0.169486957,Production,2025.0,Unknown,1.99996392,France,Europe,Western Europe
Hynamics Cannes,FRA,2.0,0.338973913,Production,2025.0,Unknown,1.999915813,France,Europe,Western Europe
HyLan,FRA,30.0,5.1976,Production,2025.0,Solar PV,1.998568826,France,Europe,Western Europe
"HyGreen Teesside, phase I",GBR,80.0,13.86026667,Production,2025.0,Unknown,6.996163493,United Kingdom,Europe,Western Europe
Hydrogen Wind Turbine in Wieringerwerf,NLD,5.0,0.749653846,Production,2025.0,Onshore wind,1.999771493,Netherlands,Europe,Western Europe
Hydrogen Hub Agder Phase 1,NOR,20.0,3.38973913,Production,2025.0,Unknown,1.999049893,Norway,Europe,Northern Europe
Hydro Havrand - Hoyanger,NOR,5.0,0.749653846,Production,2025.0,Hydropower,1.999771493,Norway,Europe,Northern Europe
Protium - Wilton Universal Group Teeside (Phase 1),GBR,17.2,2.979957333,Production,2025.0,Unknown,6.999184592,United Kingdom,Europe,Western Europe
Project AIR (Perstorp - Stenungsund),SWE,25.0,4.237173913,Production,2025.0,Onshore wind,1.99880936,Sweden,Europe,Northern Europe
Port of Aabenraa Methanol,DNK,60.0,8.995846154,Production,2025.0,Solar PV,1.997125626,Denmark,Europe,Northern Europe
Port of Aabenraa,DNK,100.0,17.32533333,Production,2025.0,Others/Various,1.995201359,Denmark,Europe,Northern Europe
Plug Power Port of Antwerp-Bruges,BEL,100.0,14.99307692,Production,2025.0,Unknown,6.995201359,Belgium,Europe,Western Europe
Plansee Group - Breitenwang,AUT,4.0,0.677947826,Production,2025.0,Unknown,1.9998196,Austria,Europe,Central Europe
HyCOR,FRA,20.0,3.465066667,Production,2025.0,Unknown,1.999049893,France,Europe,Western Europe
HYBRIT demo,SWE,500.0,84.74347826,Production,2025.0,Unknown,1.975958689,Sweden,Europe,Northern Europe
HyBont,GBR,5.2,0.900917333,Production,2025.0,Unknown,6.999761872,United Kingdom,Europe,Western Europe
HyBizkaia EFuels and Mobility at Basque Hydrogen Corridor,ESP,10.0,1.732533333,Production,2025.0,Unknown,1.99953096,Spain,Europe,South West Europe
HYBAYERN,DEU,2.872659176,0.4307,Production,2025.0,Unknown,9.999873833,Germany,Europe,Western Europe
Hy4Chem - BASF Ludwigshafen,DEU,54.0,8.096261538,Production,2025.0,Unknown,9.997414266,Germany,Europe,Western Europe
HY.Waiblingen,DEU,2.0,0.346506667,Production,2025.0,Unknown,4.999915813,Germany,Europe,Western Europe
Hunfeld project ,DEU,5.0,0.866266667,Production,2025.0,Onshore wind,4.999771493,Germany,Europe,Western Europe
Holland Hydrogen - phase 1,NLD,200.0,33.8973913,Production,2025.0,Offshore wind,1.990390692,Netherlands,Europe,Western Europe
Hidroversol Castilla y León,ESP,200.0,34.65066667,Production,2025.0,Unknown,6.990390692,Spain,Europe,South West Europe
"HH2E - Met Northeast Germany, phase 1",DEU,100.0,16.94869565,Production,2025.0,Others/Various,4.995201359,Germany,Europe,Western Europe
HEVO-Industria,PRT,6.6,0.989543077,Production,2025.0,Unknown,1.999694523,Portugal,Europe,South West Europe
HEVO Sines (Phase 1),PRT,10.0,1.499307692,Production,2025.0,Solar PV,1.99953096,Portugal,Europe,South West Europe
HEVO- Aveiro,PRT,25.0,3.748269231,Production,2025.0,Unknown,1.99880936,Portugal,Europe,South West Europe
"H2UDF, phase II",ESP,7.5,1.2994,Production,2025.0,Unknown,1.999651227,Spain,Europe,South West Europe
"H2UDF, phase I",ESP,2.5,0.433133333,Production,2025.0,Unknown,1.99989176,Spain,Europe,South West Europe
RDSF - Metacon MoU,POL,5.0,0.866266667,Production,2025.0,Solar PV,1.999771493,Poland,Europe,Eastern Europe
Rabbalshede Krafts,SWE,50.0,8.662666667,Production,2025.0,Others/Various,1.997606693,Sweden,Europe,Northern Europe
Raahen Monivoima Kokkola,FIN,5.7,0.987544,Production,2025.0,Others/Various,1.999737819,Finland,Europe,Northern Europe
PYROCO2,NOR,2.38379252,0.413,Production,2025.0,Unknown,6.99989735,Norway,Europe,Northern Europe
H2MUCTYNIC (Confidential data from H2 Europe),SVK,20.0,3.465066667,Production,2025.0,Others/Various,1.999049893,Slovakia,Europe,Central Europe
H2Iseo valley,ITA,5.0,0.866266667,Production,2025.0,Unknown,1.999771493,Italy,Europe,Southern Europe
H2Hub HyChem,PRT,10.0,1.694869565,Production,2025.0,Solar PV,1.99953096,Portugal,Europe,South West Europe
H2Hollandia,NLD,5.0,0.866266667,Production,2025.0,Solar PV,1.999771493,Netherlands,Europe,Western Europe
H2GO Energy Park Oude-Tonge - 1st phase,NLD,2.5,0.433133333,Production,2025.0,Others/Various,1.99989176,Netherlands,Europe,Western Europe
H2ermes,NLD,100.0,17.32533333,Production,2025.0,Unknown,1.995201359,Netherlands,Europe,Western Europe
H2BYCOL,FRA,1.0,0.173253333,Production,2025.0,Unknown,1.99996392,France,Europe,Western Europe
H2 Solar Rodao,PRT,30.0,5.1976,Production,2025.0,Unknown,1.998568826,Portugal,Europe,South West Europe
H2 production for a H2 Fuell station ,NLD,1.0,0.173253333,Production,2025.0,Unknown,6.99996392,Netherlands,Europe,Western Europe
H2 Pierre-Bénite (Phase 1),FRA,20.0,3.465066667,Production,2025.0,Unknown,1.999049893,France,Europe,Western Europe
H2 Loire Vallée (H2LV),FRA,4.0,0.693013333,Production,2025.0,Unknown,1.9998196,France,Europe,Western Europe
Repsol Bilbao port synfuels project,ESP,10.0,1.694869565,Production,2025.0,Others/Various,1.99953096,Spain,Europe,South West Europe
Ren-Gas  P2X Tampere,FIN,60.0,10.3952,Production,2025.0,Unknown,1.997125626,Finland,Europe,Northern Europe
H2 Green Steel (H2GS)  - phase 1,SWE,800.0,135.5895652,Production,2025.0,Hydropower,1.961526686,Sweden,Europe,Northern Europe
H2 for Ovako steel mill in Smedjebacken,SWE,17.0,2.881278261,Production,2025.0,Unknown,1.999194213,Sweden,Europe,Northern Europe
H2 Energy Europe Esbjerg green hydrogen,DNK,1000.0,149.9307692,Production,2025.0,Offshore wind,1.951905351,Denmark,Europe,Northern Europe
H2 Creteil,FRA,2.5,0.433133333,Production,2025.0,Others/Various,1.99989176,France,Europe,Western Europe
"H100 Fife Project, Levenmouth",GBR,5.0,0.847434783,Production,2025.0,Others/Various,1.999771493,United Kingdom,Europe,Western Europe
GZI Next,NLD,10.0,1.499307692,Production,2025.0,Others/Various,1.99953096,Netherlands,Europe,Western Europe
Grey2Green (Phase I),PRT,100.0,14.99307692,Production,2025.0,Unknown,1.995201359,Portugal,Europe,South West Europe
Grenzland Energie Kompakt,DEU,4.0,0.599723077,Production,2025.0,Others/Various,4.9998196,Germany,Europe,Western Europe
Greening of Gas (GoG) - Net4Gas DEMO,CZE,0.45,0.077964,Production,2025.0,Unknown,6.999990379,Czech Republic,Europe,Central Europe
Green Hydrogen 1/HyRo Scotland,GBR,15.0,2.5988,Production,2025.0,Unknown,6.999290427,United Kingdom,Europe,Western Europe
Green Fuels for Denmark - Phase 1,DNK,10.0,1.732533333,Production,2025.0,Others/Various,1.99953096,Denmark,Europe,Northern Europe
SolWinHy Cádiz,ESP,69.57211598,12.053601,Production,2025.0,Others/Various,1.996665143,Spain,Europe,South West Europe
"Sines Repsol, phase 1",PRT,4.0,0.599723077,Production,2025.0,Solar PV,1.9998196,Portugal,Europe,South West Europe
Sines GH2 Solar,PRT,4.0,0.599723077,Production,2025.0,Solar PV,1.9998196,Portugal,Europe,South West Europe
SALCOS - first expansion - phase 1,DEU,100.0,17.32533333,Production,2025.0,Onshore wind,4.995201359,Germany,Europe,Western Europe
Green CCU Hub Aalborg,DNK,120.0,20.7904,Production,2025.0,Others/Various,1.994239226,Denmark,Europe,Northern Europe
Granadilla - Endesa,ESP,10.0,1.732533333,Production,2025.0,Others/Various,1.99953096,Spain,Europe,South West Europe
GldH2,NLD,2.0,0.346506667,Production,2025.0,Unknown,1.999915813,Netherlands,Europe,Western Europe
"Gigastack-Hornsea 2, phase I",GBR,100.0,14.99307692,Production,2025.0,Offshore wind,1.995201359,United Kingdom,Europe,Western Europe
"GET H2 Nukleus, phase 1",DEU,100.0,14.99307692,Production,2025.0,Offshore wind,4.995201359,Germany,Europe,Western Europe
"G2F - Gas to Future, phase 1",SVK,84.0,14.55328,Production,2025.0,Unknown,6.995971066,Slovakia,Europe,Central Europe
Freienbach plant,CHE,10.0,1.732533333,Production,2025.0,Unknown,1.99953096,Switzerland,Europe,Central Europe
Flexens Lempäälä,FIN,2.5,0.433133333,Production,2025.0,Unknown,1.99989176,Finland,Europe,Northern Europe
EuroWind Energy  Monte Das Areias ,PRT,4.0,0.693013333,Production,2025.0,Unknown,1.9998196,Portugal,Europe,South West Europe
"European Energy, phase II",DNK,9.0,1.55928,Production,2025.0,Offshore wind,1.999579067,Denmark,Europe,Northern Europe
Ercros - Sabinanigo,ESP,0.9,0.152538261,Production,2025.0,Unknown,6.999968731,Spain,Europe,South West Europe
ErasmoPower2X,ESP,500.0,86.62666667,Production,2025.0,Solar PV,1.975958689,Spain,Europe,South West Europe
Enertrag Magdeburg,DEU,10.0,1.499307692,Production,2025.0,Unknown,4.99953096,Germany,Europe,Western Europe
Energi Hub Kjerlingland,NOR,5.0,0.866266667,Production,2025.0,Unknown,1.999771493,Norway,Europe,Northern Europe
EMEC tidal-battery-hydrogen demo,GBR,0.67,0.100453615,Production,2025.0,Others/Various,1.999979795,United Kingdom,Europe,Western Europe
Terranova Hydrogen,BEL,2.5,0.433133333,Production,2025.0,Unknown,1.99989176,Belgium,Europe,Western Europe
Terneuzen - VoltH2 - phase I,NLD,25.0,4.331333333,Production,2025.0,Offshore wind,1.99880936,Netherlands,Europe,Western Europe
Tees Valley Hydrogen Vehicle Ecosystem- Riverside terminal ,GBR,3.16011236,0.5475,Production,2025.0,Unknown,1.999860004,United Kingdom,Europe,Western Europe
Tapada do Outeiro natural gas power plant ,PRT,15.0,2.5988,Production,2025.0,Offshore wind,1.999290427,Portugal,Europe,South West Europe
Swedish Biofuels/COWI SAF plant,SWE,59.30028823,10.2739726,Production,2025.0,Unknown,1.997159287,Sweden,Europe,Northern Europe
Sunrhyse,FRA,30.0,4.497923077,Production,2025.0,Solar PV,1.998568826,France,Europe,Western Europe
EDP Ribatejo - ALHIVE Alenquer,PRT,5.0,0.749653846,Production,2025.0,Unknown,1.999771493,Portugal,Europe,South West Europe
E.ON H2.Ruhr wind exports from Italy,DEU,20.0,3.465066667,Production,2025.0,Others/Various,4.999049893,Germany,Europe,Western Europe
Duisburg Harbor,DEU,20.0,3.465066667,Production,2025.0,Unknown,9.999049893,Germany,Europe,Western Europe
Dimdini H2 ecosystem,LVA,30.0,5.1976,Production,2025.0,Unknown,1.998568826,Latvia,Europe,Eastern Europe
DépHy2B Bastia,FRA,5.0,0.866266667,Production,2025.0,Solar PV,1.999771493,France,Europe,Western Europe
DépHy2A Ajaccio,FRA,5.0,0.866266667,Production,2025.0,Solar PV,1.999771493,France,Europe,Western Europe
CRI project in Norway (Circlenergy),NOR,110.0,19.05786667,Production,2025.0,Unknown,1.994720292,Norway,Europe,Northern Europe
Concrete Chemicals - II,DEU,3.0,0.615505263,Production,2025.0,Others/Various,4.999867707,Germany,Europe,Western Europe
Concrete Chemicals - I,DEU,51.68539326,8.76,Production,2025.0,Others/Various,4.997525614,Germany,Europe,Western Europe
Bradford Low Carbon Hydrogen,GBR,24.5,4.244706667,Production,2025.0,Unknown,6.998833413,United Kingdom,Europe,Western Europe
"Borna Hydrogen Plant, phase 1",DEU,100.0,17.32533333,Production,2025.0,Unknown,4.995201359,Germany,Europe,Western Europe
Bord Na Mona & BOC hydrogen project,IRL,2.0,0.346506667,Production,2025.0,Onshore wind,1.999915813,Ireland,Europe,Western Europe
UPM Kymmene Biorefinery Green Hydrogen production​,FIN,20.0,3.465066667,Production,2025.0,Unknown,1.999049893,Finland,Europe,Northern Europe
Uniper Killingholme site,GBR,100.0,17.32533333,Production,2025.0,Offshore wind,1.995201359,United Kingdom,Europe,Western Europe
"Trailblazer - Siemens-Air Liquide Oberhausen, Phase 2",DEU,10.0,1.499307692,Production,2025.0,Unknown,9.99953096,Germany,Europe,Western Europe
"TIWAG Power2X (Phase 1) (within ""Power2X Kufstein"")",AUT,1.0,0.149930769,Production,2025.0,Hydropower,1.99996392,Austria,Europe,Central Europe
Vordingborg biofuels,DNK,220.8638602,38.2654,Production,2025.0,Others/Various,1.989387001,Denmark,Europe,Northern Europe
Vlissingen - VoltH2 - phase I,NLD,25.0,4.331333333,Production,2025.0,Offshore wind,1.99880936,Netherlands,Europe,Western Europe
Vitry H2,FRA,2.0,0.338973913,Production,2025.0,Unknown,1.999915813,France,Europe,Western Europe
VISION 2025,GRC,10.0,1.732533333,Production,2025.0,Solar PV,1.99953096,Greece,Europe,South East Europe
Vätgas Ljungby,SWE,2.0,0.346506667,Production,2025.0,Unknown,6.999915813,Sweden,Europe,Northern Europe
Vantaa-Wartsila methanation,FIN,20.0,3.465066667,Production,2025.0,Onshore wind,1.999049893,Finland,Europe,Northern Europe
Valle Peligna Green Hydrogen Project,ITA,30.0,4.497923077,Production,2025.0,Others/Various,1.998568826,Italy,Europe,Southern Europe
Utilitas ELY,EST,0.212405726,0.036,Production,2025.0,Solar PV,1.999998191,Estonia,Europe,Eastern Europe
"BENORTH2 (Amorebieta-Boroa power plant), phase 1",ESP,20.0,3.465066667,Production,2025.0,Unknown,1.999049893,Spain,Europe,South West Europe
Barranco de Tirajana - Endesa,ESP,7.0,1.212773333,Production,2025.0,Solar PV,1.99967528,Spain,Europe,South West Europe
Barataria - pHYnix,ESP,70.0,12.12773333,Production,2025.0,Unknown,6.996644559,Spain,Europe,South West Europe
Bad Lauchstädt energy park,DEU,30.0,5.084608696,Production,2025.0,Onshore wind,4.998568826,Germany,Europe,Western Europe
Axpo Brugg,CHE,15.0,2.5988,Production,2025.0,Hydropower,1.999290427,Switzerland,Europe,Central Europe
AuxHYGen (Phase 2),FRA,2.0,0.338973913,Production,2025.0,Unknown,1.999915813,France,Europe,Western Europe
"AsturiasH2Valley, Abono",ESP,150.0,25.988,Production,2025.0,Unknown,1.992796025,Spain,Europe,South West Europe
As Pontes power plant,ESP,100.0,17.32533333,Production,2025.0,Onshore wind,1.995201359,Spain,Europe,South West Europe
Armor Hydrogène,FRA,4.0,0.693013333,Production,2025.0,Onshore wind,1.9998196,France,Europe,Western Europe
ArcelorMittal Hamburg,DEU,50.0,8.662666667,Production,2025.0,Unknown,9.997606693,Germany,Europe,Western Europe
AEM Nexus 500 for SAF and supply of internal hydrogen lines,DEU,0.5,0.086626667,Production,2025.0,Unknown,9.999987973,Germany,Europe,Western Europe
Zero Emission Valley (ZEV) - Le Cheylas,FRA,5.0,0.866266667,Production,2025.0,Unknown,6.999771493,France,Europe,Western Europe
Advancing Sustainable Aviation via PtL and Direct Air Capture (ASAP-DAC)  project,BGR,3.121067801,0.5407354,Production,2025.0,Unknown,1.999861882,Bulgaria,Europe,South East Europe
